	model	years	type	severity	acc	diff	expected	unexpected	macrodiff
74	distilbert/distilgpt2	10	other	m7	0.0	0.07623198032379168	6.094408679008484	6.018176698684693	0.07623198032379097
75	distilbert/distilgpt2	10	other	m8	0.0	0.05702374198219993	4.946057525548068	4.889033783565868	0.05702374198220017
76	distilbert/distilgpt2	10	other	m9	0.045454545454545456	0.023623818700963802	5.662285669283434	5.638661850582469	0.023623818700964527
77	distilbert/distilgpt2	10	property	m3	0.0	0.024621814489364624	4.496313810348511	4.471691995859146	0.024621814489364624
78	distilbert/distilgpt2	10	property	m5	0.0	0.024621814489364624	4.496313810348511	4.471691995859146	0.024621814489364624
79	distilbert/distilgpt2	10	property	m6	0.0	0.028745263814926147	4.5268694460392	4.498124182224274	0.028745263814926147
80	distilbert/distilgpt2	10	property	m7	0.0	0.03144550323486328	4.521186530590057	4.489741027355194	0.03144550323486328
81	distilbert/distilgpt2	10	property	m8	0.07692307692307693	0.041693733288691595	5.131182335890257	5.089488602601564	0.041693733288692414
82	distilbert/distilgpt2	10	property	m9	0.1111111111111111	-0.02971066368950738	5.406441463364495	5.436152127054003	-0.029710663689507477
83	distilbert/distilgpt2	10	sex	m2	0.25	-0.07969364523887634	5.312721431255341	5.392415076494217	-0.07969364523887634
84	distilbert/distilgpt2	10	sex	m3	0.0	0.04437053203582764	4.77178418636322	4.727413654327393	0.04437053203582764
85	distilbert/distilgpt2	10	sex	m4	0.0	0.13991689682006836	7.642212867736816	7.502295970916748	0.13991689682006836
86	distilbert/distilgpt2	10	sex	m5	0.0	0.05606747998131646	5.129011339611477	5.072943859630161	0.05606747998131567
87	distilbert/distilgpt2	10	sex	m6	0.0	0.0409137351172311	4.848894562040057	4.807980826922825	0.04091373511723173
88	distilbert/distilgpt2	10	sex	m7	0.0	0.08777842919031816	6.5786373515923815	6.490858922402064	0.0877784291903172
89	distilbert/distilgpt2	10	sex	m8	0.1	0.002028679847717285	5.447043251991272	5.445014572143554	0.002028679847717818
90	distilbert/distilgpt2	10	sex	m9	0.16666666666666666	-0.023252328236897785	5.697981973489125	5.721234301726024	-0.02325232823689838
91	distilbert/distilgpt2	10	"viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
92	distilbert/distilgpt2	10	violent	m3	0.0	0.041545987129211245	5.583926749229431	5.54238076210022	0.041545987129211426
93	distilbert/distilgpt2	10	violent	m4	0.0	0.07359540462493896	5.8547996282577515	5.7812042236328125	0.07359540462493896
94	distilbert/distilgpt2	10	violent	m5	0.15384615384615385	0.042267323686526304	4.789574603621777	4.74730727993525	0.042267323686526304
95	distilbert/distilgpt2	10	violent	m6	0.16666666666666666	0.05082976155810886	5.067180780073007	5.016351018514898	0.050829761558108366
96	distilbert/distilgpt2	10	violent	m7	0.0	0.04537421464920066	5.29952597618103	5.25415176153183	0.04537421464920044
97	distilbert/distilgpt2	10	violent	m8	0.125	-0.009627312421798706	5.522777155041695	5.532404467463493	-0.009627312421798706
98	distilbert/distilgpt2	10	violent	m9	0.0	0.050415754318237305	4.817748546600342	4.7673327922821045	0.050415754318237305
99	distilbert/distilgpt2	10	weapon	m5	0.5	-0.17222005128860518	5.611107230186462	5.783327281475067	-0.17222005128860474
100	distilbert/distilgpt2	10	weapon	m6	1.0	-0.40644168853759766	7.993206024169922	8.39964771270752	-0.40644168853759766
101	distilbert/distilgpt2	10	weapon	m7	0.6	-0.2033324956893921	6.767128205299377	6.970460700988769	-0.20333249568939227
102	distilbert/distilgpt2	10	weapon	m8	0.5483870967741935	-0.13567241689851206	5.684856024961317	5.82052844185983	-0.13567241689851262
103	distilbert/distilgpt2	10	weapon	m9	0.5	-0.1694047451019287	6.982814788818359	7.152219533920288	-0.1694047451019287
104	distilbert/distilgpt2	1	" (from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
105	distilbert/distilgpt2	1	 damaging	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
106	distilbert/distilgpt2	1	" delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
107	distilbert/distilgpt2	1	 disturbed	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
108	distilbert/distilgpt2	1	" felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
109	distilbert/distilgpt2	1	 impeding	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
110	distilbert/distilgpt2	1	 threatening	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
111	distilbert/distilgpt2	1	" viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
112	distilbert/distilgpt2	1	"(from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
113	distilbert/distilgpt2	1	"delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
114	distilbert/distilgpt2	1	drug	d1	0.6666666666666666	-0.10575723648071349	5.709043820699056	5.814801057179769	-0.10575723648071289
115	distilbert/distilgpt2	1	drug	d2	0.8	-0.07475531101226843	5.310417866706848	5.385173177719116	-0.07475531101226807
116	distilbert/distilgpt2	1	drug	d3	0.75	-0.04386216402053855	5.338282689452171	5.38214485347271	-0.04386216402053833
117	distilbert/distilgpt2	1	drug	d4	0.8	-0.0695559978485111	5.2016864776611325	5.271242475509643	-0.06955599784851074
118	distilbert/distilgpt2	1	"felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
119	distilbert/distilgpt2	1	homicide	m1	1.0	-0.1721718072891237	4.947401654720307	5.11957346200943	-0.17217180728912318
120	distilbert/distilgpt2	1	homicide	m2	1.0	-0.19151896238327026	5.003542482852936	5.195061445236206	-0.19151896238327026
121	distilbert/distilgpt2	1	homicide	m3	1.0	-0.0432513952255249	4.603881001472473	4.647132396697998	-0.0432513952255249
122	distilbert/distilgpt2	1	homicide	m4	1.0	-0.04447275400161743	4.570049524307251	4.614522278308868	-0.04447275400161743
123	distilbert/distilgpt2	1	homicide	m5	1.0	-0.03383326530456543	4.611257970333099	4.645091235637665	-0.03383326530456543
124	distilbert/distilgpt2	1	impeding	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
125	distilbert/distilgpt2	1	other	m5	0.6923076923076923	-0.19013146597605513	7.6520115079788065	7.842142973954861	-0.19013146597605424
126	distilbert/distilgpt2	1	other	m7	0.4	0.04350835084915179	5.907922410964966	5.864414060115815	0.04350835084915161
127	distilbert/distilgpt2	1	other	m8	0.7272727272727273	-0.021098608320409603	4.541844275864688	4.562942884185097	-0.02109860832040944
128	distilbert/distilgpt2	1	other	m9	0.7727272727272727	-0.03778202425349842	5.3908619365908885	5.428643960844386	-0.03778202425349786
129	distilbert/distilgpt2	1	property	m3	1.0	-0.07050403952598572	4.207978248596191	4.278482288122177	-0.07050403952598572
130	distilbert/distilgpt2	1	property	m5	1.0	-0.07050403952598572	4.207978248596191	4.278482288122177	-0.07050403952598572
131	distilbert/distilgpt2	1	property	m6	1.0	-0.07047075033187866	4.3308530151844025	4.401323765516281	-0.07047075033187866
132	distilbert/distilgpt2	1	property	m7	1.0	-0.05620525280634562	4.274291495482127	4.330496748288472	-0.05620525280634503
133	distilbert/distilgpt2	1	property	m8	0.9230769230769231	-0.033830372186807414	4.878976147908431	4.912806520095239	-0.03383037218680762
134	distilbert/distilgpt2	1	property	m9	0.7777777777777778	-0.08783832523557875	5.135353883107503	5.223192208343082	-0.08783832523557944
135	distilbert/distilgpt2	1	sex	m2	1.0	-0.14350344240665436	5.029513001441956	5.17301644384861	-0.14350344240665436
136	distilbert/distilgpt2	1	sex	m3	1.0	-0.03284388780593872	4.344303786754608	4.377147674560547	-0.03284388780593872
137	distilbert/distilgpt2	1	sex	m4	0.0	0.13991689682006836	7.642212867736816	7.502295970916748	0.13991689682006836
138	distilbert/distilgpt2	1	sex	m5	0.8888888888888888	-0.02245885133743286	4.77244093020757	4.794899781545003	-0.02245885133743286
139	distilbert/distilgpt2	1	sex	m6	1.0	-0.03677154438836234	4.479305965559823	4.516077509948185	-0.03677154438836183
140	distilbert/distilgpt2	1	sex	m7	0.5833333333333334	0.03989100952943203	6.358739495277405	6.318848485747973	0.039891009529431365
141	distilbert/distilgpt2	1	sex	m8	0.7	-0.04980367422103882	5.179288935661316	5.229092609882355	-0.04980367422103882
142	distilbert/distilgpt2	1	sex	m9	0.8333333333333334	-0.08167028427124023	5.501622756322225	5.583293040593465	-0.08167028427124023
143	distilbert/distilgpt2	1	"viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
144	distilbert/distilgpt2	1	violent	m3	0.6	-0.016827297210693537	5.466689157485962	5.483516454696655	-0.016827297210693537
145	distilbert/distilgpt2	1	violent	m4	0.3333333333333333	0.02792346477508545	5.543413559595744	5.515490094820659	0.02792346477508545
146	distilbert/distilgpt2	1	violent	m5	0.6923076923076923	-0.006065656359379172	4.666979041237098	4.673044697596477	-0.006065656359378835
147	distilbert/distilgpt2	1	violent	m6	0.5555555555555556	0.01585221290588379	4.891122355229324	4.875270142323441	0.01585221290588379
148	distilbert/distilgpt2	1	violent	m7	0.75	-0.01813244819641091	5.001133352518082	5.019265800714493	-0.018132448196411133
149	distilbert/distilgpt2	1	violent	m8	0.6875	-0.06451738625764847	5.292834587395191	5.35735197365284	-0.06451738625764847
150	distilbert/distilgpt2	1	violent	m9	1.0	-0.031774282455444336	4.680365562438965	4.712139844894409	-0.031774282455444336
151	distilbert/distilgpt2	1	weapon	m5	1.0	-0.21133667230606124	5.367901712656021	5.579238384962082	-0.2113366723060608
152	distilbert/distilgpt2	1	weapon	m6	1.0	-0.40644168853759766	7.993206024169922	8.39964771270752	-0.40644168853759766
153	distilbert/distilgpt2	1	weapon	m7	0.8	-0.228741455078125	6.624998545646667	6.853740000724793	-0.2287414550781257
154	distilbert/distilgpt2	1	weapon	m8	0.7419354838709677	-0.1520478932126876	5.625935976063052	5.777983869275739	-0.1520478932126874
155	distilbert/distilgpt2	1	weapon	m9	0.5	-0.1694047451019287	6.982814788818359	7.152219533920288	-0.1694047451019287
156	distilbert/distilgpt2	5	" (from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
157	distilbert/distilgpt2	5	 damaging	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
158	distilbert/distilgpt2	5	" delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
159	distilbert/distilgpt2	5	 disturbed	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
160	distilbert/distilgpt2	5	" felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
161	distilbert/distilgpt2	5	 impeding	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
162	distilbert/distilgpt2	5	 threatening	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
163	distilbert/distilgpt2	5	" viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
164	distilbert/distilgpt2	5	"(from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
165	distilbert/distilgpt2	5	"delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
166	distilbert/distilgpt2	5	drug	d1	0.3333333333333333	-0.09573034445444802	5.835302670796712	5.93103301525116	-0.09573034445444772
167	distilbert/distilgpt2	5	drug	d2	0.2	-0.05144455432891881	5.572700476646423	5.624145030975342	-0.05144455432891881
168	distilbert/distilgpt2	5	drug	d3	0.125	-0.02379046380519889	5.62153422832489	5.645324692130089	-0.02379046380519867
169	distilbert/distilgpt2	5	drug	d4	0.2	-0.04992167949676531	5.482613492012024	5.532535171508789	-0.04992167949676496
170	distilbert/distilgpt2	5	"felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
171	distilbert/distilgpt2	5	homicide	m1	0.6	-0.14673910140991228	5.389149904251099	5.53588900566101	-0.14673910140991175
172	distilbert/distilgpt2	5	homicide	m2	1.0	-0.1709182858467102	5.456811487674713	5.627729773521423	-0.1709182858467102
173	distilbert/distilgpt2	5	homicide	m3	0.0	0.010260701179504395	5.074272036552429	5.064011335372925	0.010260701179504395
174	distilbert/distilgpt2	5	homicide	m4	0.5	0.004628181457519531	5.087697148323059	5.0830689668655396	0.004628181457519531
175	distilbert/distilgpt2	5	homicide	m5	0.0	0.017147541046142578	5.095844030380249	5.0786964893341064	0.017147541046142578
176	distilbert/distilgpt2	5	impeding	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
177	distilbert/distilgpt2	5	other	m5	0.46153846153846156	-0.18027237630807463	7.791601276168456	7.971873652476531	-0.1802723763080749
178	distilbert/distilgpt2	5	other	m7	0.0	0.057908463478088555	6.168059682846069	6.110151219367981	0.0579084634780882
179	distilbert/distilgpt2	5	other	m8	0.18181818181818182	0.022527445446361195	5.105377565730702	5.08285012028434	0.02252744544636176
180	distilbert/distilgpt2	5	other	m9	0.09090909090909091	-0.006594820456071334	5.797076203606346	5.8036710240624165	-0.006594820456070849
181	distilbert/distilgpt2	5	property	m3	1.0	-0.015649110078811646	4.738631844520569	4.7542809545993805	-0.015649110078811646
182	distilbert/distilgpt2	5	property	m5	1.0	-0.015649110078811646	4.738631844520569	4.7542809545993805	-0.015649110078811646
183	distilbert/distilgpt2	5	property	m6	0.5	-0.008475780487060547	4.86369401216507	4.87216979265213	-0.008475780487060547
184	distilbert/distilgpt2	5	property	m7	0.6666666666666666	-0.004615644613901774	4.78236985206604	4.786985496679942	-0.00461564461390207
185	distilbert/distilgpt2	5	property	m8	0.46153846153846156	0.0020520549554091235	5.2971931512539205	5.2951410962985115	0.002052054955409055
186	distilbert/distilgpt2	5	property	m9	0.3333333333333333	-0.05809679296281613	5.489157385296291	5.547254178259108	-0.058096792962816224
187	distilbert/distilgpt2	5	sex	m2	0.75	-0.1157737672328949	5.483354806900024	5.599128574132919	-0.1157737672328949
188	distilbert/distilgpt2	5	sex	m3	0.0	0.0015946626663208008	4.951637029647827	4.950042366981506	0.0015946626663208008
189	distilbert/distilgpt2	5	sex	m4	0.0	0.13991689682006836	7.642212867736816	7.502295970916748	0.13991689682006836
190	distilbert/distilgpt2	5	sex	m5	0.4444444444444444	0.01342667473687066	5.31705990102556	5.30363322628869	0.013426674736870758
191	distilbert/distilgpt2	5	sex	m6	0.42857142857142855	-0.0027513674327305387	5.0985307693481445	5.101282136780875	-0.0027513674327304116
192	distilbert/distilgpt2	5	sex	m7	0.16666666666666666	0.06001401940981584	6.703853289286296	6.64383926987648	0.060014019409815766
193	distilbert/distilgpt2	5	sex	m8	0.2	-0.02693648338317871	5.577894461154938	5.604830944538117	-0.02693648338317889
194	distilbert/distilgpt2	5	sex	m9	0.5	-0.052066286404927574	5.8806232412656145	5.932689527670543	-0.052066286404928164
195	distilbert/distilgpt2	5	"viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
196	distilbert/distilgpt2	5	violent	m3	0.2	0.018474841117858708	5.816808700561523	5.798333859443664	0.018474841117859242
197	distilbert/distilgpt2	5	violent	m4	0.0	0.047018965085347496	5.792905410130818	5.745886445045471	0.0470189650853472
198	distilbert/distilgpt2	5	violent	m5	0.3076923076923077	0.022636515589860705	4.9884065836668015	4.9657700680769405	0.022636515589860906
199	distilbert/distilgpt2	5	violent	m6	0.2777777777777778	0.03277950816684299	5.108492156697644	5.075712648530801	0.032779508166843385
200	distilbert/distilgpt2	5	violent	m7	0.25	0.014853596687317117	5.460520774126053	5.445667177438736	0.014853596687316895
201	distilbert/distilgpt2	5	violent	m8	0.3125	-0.03703533113002777	5.636573970317841	5.673609301447868	-0.03703533113002777
202	distilbert/distilgpt2	5	violent	m9	0.0	0.01674509048461914	5.170173287391663	5.1534281969070435	0.01674509048461914
203	distilbert/distilgpt2	5	weapon	m5	0.5	-0.1949124932289128	5.578676283359528	5.77358877658844	-0.19491249322891235
204	distilbert/distilgpt2	5	weapon	m6	1.0	-0.40644168853759766	7.993206024169922	8.39964771270752	-0.40644168853759766
205	distilbert/distilgpt2	5	weapon	m7	0.6	-0.2188469648361206	6.725643920898437	6.944490885734558	-0.21884696483612043
206	distilbert/distilgpt2	5	weapon	m8	0.5483870967741935	-0.14499901715786226	5.688305611091275	5.833304628249137	-0.14499901715786212
207	distilbert/distilgpt2	5	weapon	m9	0.5	-0.1694047451019287	6.982814788818359	7.152219533920288	-0.1694047451019287
